attraction_id,attraction_name,open_time,close_time,ratings,no_of_ratings,attraction_type,description,Latitude,Longitude,city,keywords
192,Firdous Mosque,06:00 AM, 12:00 AM,4.7,190,Mosque,Religious Sites,30.04678,31.23996,cairo,Mosque Religious Sites
193,The Hanging Church:, 9:00 AM , 5:00 PM,4.2,1176,Historical landmark,cemetry necropolis,30.02103,31.26483,cairo,Historical landmark cemetry necropolis
194,Museum Of Modern Egyptian Art:, 9:00 AM , 4:00 PM,4.8,46,Mosque,Religious Sites,30.04442,31.23571,cairo,Mosque Religious Sites
195,El Sayed Ahmad Albadawy Mosque,06:00 AM, 12:00 AM,4.6,5182,Church,Architectural Buildings Religious Sites,30.00527,31.23018,cairo,Church Architectural Buildings Religious Sites
196,Sayidi Ibrahim El Dessouky Mosque,06:00 AM, 12:00 AM,4.2,247,Tourist attraction,Art Museums,30.04369,31.22468,cairo,Tourist attraction Art Museums
197,El Nabi Daniel Mosque,06:00 AM, 12:00 AM,4.5,2779,Mosque,Religious Sites,30.04442,31.23571,cairo,Mosque Religious Sites
198,Abbasi Mosque,06:00 AM, 12:00 AM,4.5,3274,Mosque,Religious Sites,30.04442,31.23571,cairo,Mosque Religious Sites
199,Mosque of Sidi Abdullah Ibn al-Harith,06:00 AM, 12:00 AM,4.5,1699,Mosque,Religious Sites,31.19492,29.90234,alexandria,Mosque Religious Sites
200,Al-Motawally Al-Trini Al-Kabeer mosque,06:00 AM, 12:00 AM,4.6,216,Mosque,Religious Sites,30.04442,31.23571,cairo,Mosque Religious Sites
201,Attarine Mosque,06:00 AM, 12:00 AM,4.4,53,Mosque,Religious Sites,30.04442,31.23571,cairo,Mosque Religious Sites
202,National Military Museum Egypt,09:00 AM, 4:00 PM,4.7,124,Mosque,Religious Sites,30.04442,31.23571,cairo,Mosque Religious Sites
203,Al-Gawhara Palace,06:00 AM, 12:00 AM,4.6,502,Mosque,Religious Sites,31.19521,29.89899,alexandria,Mosque Religious Sites
204,Orman Garden,06:00 AM, 12:00 AM,4.3,"4,531",Museum,Warfare exhibits dating to ancient times museum,30.03085,31.26256,cairo,Museum Warfare exhibits dating to ancient times museum
205,Saint Barbara Church Complex,06:00 AM, 12:00 AM,4,95,Palace,Palatial museum housing cultural relics,30.02799,31.25941,cairo,Palace Palatial museum housing cultural relics
206,Umm Kulthum Museum: ,09:00 AM, 4:00 PM,4.2,"12,540",Garden,Huge complex of flowers & native plants,30.02904,31.21297,cairo,Garden Huge complex of flowers & native plants
207,Aquarium Grot+ Garden: ,09:00 AM, 5:00 PM,4.8,72,Church,Church and architecture Religious sites,30.00608,31.23133,cairo,Church Church and architecture Religious sites
208,Valley Temple of Khafre: ,09:00 AM, 5:00 PM,4.3,761,Museum,biographical museum,30.00745,31.22529,cairo,Museum biographical museum
209,Pyramid of Sahure,06:00 AM, 12:00 AM,3.8,"3,992",Garden,Leafy park with man-made caves,30.0564,31.21908,cairo,Garden Leafy park with man-made caves
210,St. George's church,06:00 AM, 12:00 AM,4.6,338,Historic,Ancient egypt and ancient history historic sites,29.97474,31.13836,giza,Historic Ancient egypt and ancient history historic sites
211,Mahmoud Mukhtar Museum: ,09:00 AM, 4:00 PM,4.5,88,Historical landmark,Ancient complex of pyramids & temples historic sites,29.89763,31.20339,giza,Historical landmark Ancient complex of pyramids & temples historic sites
212,Rhoda Island,06:00 AM, 12:00 AM,4.7,371,Church,Religious Sites Round church with an ornate interior,30.0063,31.23009,cairo,Church Religious Sites Round church with an ornate interior
213,Manasterly Palace,06:00 AM, 12:00 AM,4.5,261,Museum,"Museum, sculpture and art",30.0407,31.22287,cairo,"Museum Museum, sculpture and art"
214,Pyramid of Djedefre,06:00 AM, 12:00 AM,4.4,224,island,,30.0225,31.22611,cairo,island
215,Zoological Museum,06:00 AM, 12:00 AM,4.2,821,Palace,Grand historic building & music venue museum,30.00718,31.22482,cairo,Palace Grand historic building & music venue museum
216,Picasso Art Gallery,06:00 AM, 12:00 AM,4.2,77,Tourist attraction,Ruined ancient site atop a rocky plateau,30.03226,31.07471,giza,Tourist attraction Ruined ancient site atop a rocky plateau
217,Maadi Island: ,09:00 AM, 10:00 PM,4.7,181,Museum,Speciality Museums zoolgy,30.02077,31.21492,giza,Museum Speciality Museums zoolgy
218,Pyramid of Neferirkare,06:00 AM, 12:00 AM,4.6,311,Art Gallery,"Pablo picasso, art and painting",30.06151,31.22242,cairo,"Art Gallery Pablo picasso, art and painting"
219,Unfinished Pyramid,06:00 AM, 12:00 AM,4.2,"8,124",Garden,,29.9658,31.23931,cairo,Garden
220,Topaz Bazaar,06:00 AM, 12:00 AM,4.4,29,Tourist attraction,Ancient memorial & temple complex Historic Sites,29.89509,31.20225,giza,Tourist attraction Ancient memorial & temple complex Historic Sites
221,Al Horreya Garden,06:00 AM, 12:00 AM,3.9,36,Historical landmark,Ancient egypt and ancient history Historic Sites,29.94021,31.15149,giza,Historical landmark Ancient egypt and ancient history Historic Sites
222,Zamalek Art Gallery,06:00 AM, 12:00 AM,4.5,125,Bazar,Shopping Tours,29.98492,31.14321,giza,Bazar Shopping Tours
223,Al-Nasser Mohammed Ibn Kalawoun,06:00 AM, 12:00 AM,4.2,"4,063",Garden,Palms & statues in riverside green space Botanical,30.04147,31.22579,cairo,Garden Palms & statues in riverside green space Botanical
224,El Andalos Park,06:00 AM, 12:00 AM,4.6,270,Art Gallery,Art Galleries,30.06137,31.22296,cairo,Art Gallery Art Galleries
225,Islamic Ceramics Museum: ,09:00 AM, 4:00 PM,4.7,318,Mosque,Religious Sites,30.02921,31.26087,cairo,Mosque Religious Sites
226,Al-Roda Nilometer,06:00 AM, 12:00 AM,4.1,810,Park,Moorish-style water feature & statues,30.0442,31.22741,cairo,Park Moorish-style water feature & statues
227,National Police Museum: ,09:00 AM, 4:00 PM,3.9,64,Museum,Art Museums,30.05717,31.22265,cairo,Museum Art Museums
228,Karmet Ibn Hanie Cultural Center Ahmed Shawky Museum: ,09:00 AM, 4:00 PM,4.5,572,Historical landmark,,30.00697,31.225,cairo,Historical landmark
229,Pyramids of Queens,06:00 AM, 12:00 AM,3.9,98,Museum,Speciality Museums,30.03084,31.25992,cairo,Museum Speciality Museums
230,Safari Park,06:00 AM, 12:00 AM,4.3,164,Museum,,30.02126,31.21743,cairo,Museum
231,Geographical Association of Egypt: ,09:00 AM, 4:00 PM,4.6,386,Historical landmark,Ancient temples at Giza necropolis,29.97157,31.12799,giza,Historical landmark Ancient temples at Giza necropolis
232,Abou Seifain Church,06:00 AM, 12:00 AM,4.1,"11,594",Park,"Ferris wheel, pony rides & boating",30.07566,31.19167,giza,"Park Ferris wheel, pony rides & boating"
233,The Palace Of Arts,06:00 AM, 12:00 AM,4.4,75,Museum,,30.04112,31.23605,cairo,Museum
234,Jazerat Warraq al eaear,06:00 AM, 12:00 AM,4.7,158,Church,Monastery and architecture Religious Sites,30.01244,31.23075,cairo,Church Monastery and architecture Religious Sites
235,The Royal Mummies Hall: ,09:00 AM, 4:00 PM,4.5,139,Museum,Art Museums,30.04346,31.2261,cairo,Museum Art Museums
236,Darb 1718,06:00 AM, 12:00 AM,4.4,111,island,,30.11861,31.22583,cairo,island
237,Safarkhan Art Gallery,06:00 AM, 12:00 AM,4.7,984,Museum,Ancient Egyptian mummies & coffins,30.00815,31.24826,cairo,Museum Ancient Egyptian mummies & coffins
238,Ramses Wissa Wassef Art Center:, 9:00 AM , 4:00 PM,4.3,"1,667",Archive,"Live music, yoga classes & craft courses contemporary art and culture center",30.00301,31.23177,cairo,"Archive Live music, yoga classes & craft courses contemporary art and culture center"
239,Jazerat adh Dhahab,06:00 AM, 12:00 AM,4.3,59,Art Gallery,Art and modern art,30.06052,31.22205,cairo,Art Gallery Art and modern art
240,Abou Ghorab Temple,06:00 AM, 12:00 AM,4.5,124,Art Gallery,Art and museum,29.96875,31.17596,giza,Art Gallery Art and museum
241,Foustat Traditional Crafts Center: ,09:00 AM, 4:00 PM,3.9,20,island,,31.20583,30.55333,giza,island
242,Egypt's Renaissance Statue,06:00 AM, 12:00 AM,4.5,43,Temple,"Temple, ancient egypt, ancient history and architecture historic sites",29.90402,31.19412,giza,"Temple Temple, ancient egypt, ancient history and architecture historic sites"
243,Sulayman Pasha Mosque,06:00 AM, 12:00 AM,4.4,194,art and museum,Handicraft,30.00637,31.23472,cairo,art and museum Handicraft
244,Tomb of Queen Khentkawes I,06:00 AM, 12:00 AM,4.4,208,statue,"Renaissance, art and history",30.02833,31.21593,giza,"statue Renaissance, art and history"
245,Cairo Zoo: ,09:00 AM, 7:00 PM,4.8,40,Mosque,Religious Sites,30.03106,31.26435,cairo,Mosque Religious Sites
246,Nation's House Museum: ,09:00 AM, 4:00 PM,4.5,48,Historical landmark,Historic sites,29.97335,31.13551,giza,Historical landmark Historic sites
247,Umm Kulthum Park,06:00 AM, 12:00 AM,3.8,127,Zoo,,30.02212,31.21608,giza,Zoo
248,Bab El Azab,06:00 AM, 12:00 AM,4.3,220,Museum,,30.03805,31.23746,cairo,Museum
249,Mausoleum of al-Imam al-Shafi'i,06:00 AM, 12:00 AM,4.1,"1,513",Park,Landscaped green space on the Nile,30.03108,31.22562,cairo,Park Landscaped green space on the Nile
250,Al Funun Garden,06:00 AM, 12:00 AM,4.4,34,Historical landmark,,30.03106,31.25817,cairo,Historical landmark
251,Pyramid of Hetepheres I,06:00 AM, 12:00 AM,4.7,177,Historical landmark,,30.0118,31.25806,cairo,Historical landmark
252,Hollywood Sharm El Sheikh,06:00 AM, 12:00 AM,3.8,"4,727",Garden,Riverside spot dotted with palm trees,30.02281,31.22288,cairo,Garden Riverside spot dotted with palm trees
253,Soho Square Dancing Fountain,06:00 AM, 12:00 AM,4.5,136,Historical landmark,Remains of an ancient queen's tomb Historic Sites,29.97892,31.13614,giza,Historical landmark Remains of an ancient queen's tomb Historic Sites
254,Mustafa Mosque,06:00 AM, 12:00 AM,3.9,"4,760",Park,Points of Interest & Landmarks theme,27.86481,34.29848,sharm el sheikh,Park Points of Interest & Landmarks theme
255,Cleo Park,06:00 AM, 12:00 AM,4.6,"6,446",Tourist attraction,Points of Interest & Landmarks Fountains,27.96281,34.39398,sharm el sheikh,Tourist attraction Points of Interest & Landmarks Fountains
256,Peace Square,06:00 AM, 12:00 AM,4.7,"3,770",Mosque,Points of Interest & Landmarks Architectural Buildings Religious Sites Churches & Cathedrals,27.89247,34.29964,sharm el sheikh,Mosque Points of Interest & Landmarks Architectural Buildings Religious Sites Churches & Cathedrals
257,The Heavenly Cathedral,06:00 AM, 12:00 AM,4.1,838,Park,Water Parks,27.9168,34.32298,sharm el sheikh,Park Water Parks
258,El Sherif Safari,06:00 AM, 12:00 AM,4.5,"1,641",Park,National park,27.96378,34.36132,sharm el sheikh,Park National park
259,Safari Sharm,06:00 AM, 12:00 AM,4.8,"3,664",Church,Churches & Cathedrals,27.88806,34.29541,sharm el sheikh,Church Churches & Cathedrals
260,Old market sharm el sheikh,06:00 AM, 12:00 AM,4.2,"2,580",Tourist attraction,"4WD, ATV & Off-Road Tours Boat Tours Water Sports Sightseeing Tours",27.9429,34.31232,sharm el sheikh,"Tourist attraction 4WD, ATV & Off-Road Tours Boat Tours Water Sports Sightseeing Tours"
261,Wadi Al-Khorom,06:00 AM, 12:00 AM,4.2,"2,852",Tourist attraction,,27.95351,34.28735,sharm el sheikh,Tourist attraction
262,The monument in Sharm El Sheikh,06:00 AM, 12:00 AM,4.4,"21,874",Cruise agency,Flea & Street Markets,27.86532,34.29579,sharm el sheikh,Cruise agency Flea & Street Markets
263,The Old Market,06:00 AM, 12:00 AM,4.3,137,Tourist attraction,,27.94279,34.294,sharm el sheikh,Tourist attraction
264,Royal Sea Scope submarineEgypt SunMarine Fleet,06:00 AM, 12:00 AM,4.5,"1,483",Tourist attraction,,27.84863,34.31634,sharm el sheikh,Tourist attraction
265,SOHO Square Sharm El Sheikh,06:00 AM, 12:00 AM,4.4,"8,825",Tourist attraction,,27.86556,34.29584,sharm el sheikh,Tourist attraction
266,Royal Seascope Submarines Hurghada,06:00 AM, 12:00 AM,4.4,"1,359",Tourist attraction,Submarine Tours,27.86192,34.28986,sharm el sheikh,Tourist attraction Submarine Tours
267,Travelino Club Egypt | Escursioni Sharm el Sheikh Excursions,06:00 AM, 12:00 AM,4.6,"34,810",Shopping mall,Shopping Malls,27.96257,34.39381,sharm el sheikh,Shopping mall Shopping Malls
268,Pedestrian Rd Neama Bay,06:00 AM, 12:00 AM,4.3,718,Tourist attraction,,27.2579,33.81161,sharm el sheikh,Tourist attraction
269,Sharm El Sheikh Museum,06:00 AM, 12:00 AM,4.7,117,Travel agency,Cultural Tours Swim with Dolphins Boat Tours Sightseeing Tours Day Trips,27.89521,34.30436,sharm el sheikh,Travel agency Cultural Tours Swim with Dolphins Boat Tours Sightseeing Tours Day Trips
270,Sahaba Mosque,06:00 AM, 12:00 AM,4.4,"1,314",Tourist attraction,,27.91233,34.32241,sharm el sheikh,Tourist attraction
271,Ghibli Raceway,06:00 AM, 12:00 AM,4.6,375,Museum,,27.93129,34.3457,sharm el sheikh,Museum
272,run4peace run4egypt,06:00 AM, 12:00 AM,4.8,"2,569",Mosque,Architectural Buildings Religious Sites,27.86662,34.29524,sharm el sheikh,Mosque Architectural Buildings Religious Sites
273,sharks bay,06:00 AM, 12:00 AM,4.4,277,Go-kart track,Auto Racing Tracks,27.92197,34.34462,sharm el sheikh,Go-kart track Auto Racing Tracks
274,Naama Bay,06:00 AM, 12:00 AM,4.4,109,Historical landmark,,27.96437,34.36115,sharm el sheikh,Historical landmark
275,Oasis safari T,06:00 AM, 12:00 AM,4.6,474,Beach volleyball club,Beaches,27.95158,34.38441,sharm el sheikh,Beach volleyball club Beaches
276,Dolphina,06:00 AM, 12:00 AM,4.5,"2,389",Water,Bodies of Water Beaches,27.9117,34.33242,sharm el sheikh,Water Bodies of Water Beaches
277,Safari Assembly,06:00 AM, 12:00 AM,4.1,52,Tourist attraction,,27.94436,34.31273,sharm el sheikh,Tourist attraction
278,Genena City,06:00 AM, 12:00 AM,4.2,"1,559",Tourist attraction,Amusement & Theme Parks,28.05434,34.42544,sharm el sheikh,Tourist attraction Amusement & Theme Parks
279,VIVA Beach & Restaurant:,06:00 AM, 12:00 AM,4.2,299,Whale watching tour agency,,27.9382,34.31,sharm el sheikh,Whale watching tour agency
280,Taj Mahal,06:00 AM, 12:00 AM,4.2,"6,266",Shopping mall,,27.90801,34.31983,sharm el sheikh,Shopping mall
281,Sharm El Sheikh Night Club,06:00 AM, 12:00 AM,4,"1,088",Beach,public,27.90943,34.32666,sharm el sheikh,Beach public
282,Ras Mohamed Nature Reserve: ,06:00 AM, 6:00 PM,3.8,115,Night club,Dance Clubs & Discos,27.85914,34.31148,sharm el sheikh,Night club Dance Clubs & Discos
283,Rixos Beach: ,10:00 AM, 6:00 PM,4.8,87,Tourist attraction,,27.79468,34.21189,sharm el sheikh,Tourist attraction
284,La Strada Mall: ,10:00 AM, 12:00 AM,4.8,"1,578",Tourist attraction,,27.74988,34.23844,sharm el sheikh,Tourist attraction
285,Fun & Sun Managed by Rixos Premium,06:00 AM, 12:00 AM,4.8,990,Beach,public,28.02937,34.4421,sharm el sheikh,Beach public
286,Luxor Museum: ,09:00 AM, 4:00 PM,3.9,208,Shopping mall,,28.04281,34.42925,sharm el sheikh,Shopping mall
287,Luxor Temple:, 6:00 AM , 10:00 PM,4.8,556,Park,,28.03595,34.42711,sharm el sheikh,Park
288,Karnak: ,06:00 AM, 5:30 PM,4.7,"4,784",Museum,History Museums,25.70761,32.64455,luxor,Museum History Museums
289,Mummification Museum: ,09:00 AM, 5:00 PM,4.8,"20,901",Archaeological site,Ancient Ruins Monuments & Statues,25.6995,32.63905,luxor,Archaeological site Ancient Ruins Monuments & Statues
290,Ramesseum: ,09:00 AM, 5:00 PM,4.8,"19,205",Historical landmark,Historic Sites Ancient Ruins,25.71883,32.65727,luxor,Historical landmark Historic Sites Ancient Ruins
291,Avenue of the Rams,06:00 AM, 5:00 PM,4.4,584,Museum,Speciality Museums Archaeological,25.70232,32.63985,luxor,Museum Speciality Museums Archaeological
292,Medinet Habu: ,06:00 AM, 5:00 PM,4.7,493,Historical landmark,Ancient Ruins,25.728,32.61046,luxor,Historical landmark Ancient Ruins
293,First Pylon Luxor Temple: ,06:00 AM, 5:00 PM,4.8,243,Historical landmark,Ancient Ruins Historic Walking Areas,25.7195,32.6562,luxor,Historical landmark Ancient Ruins Historic Walking Areas
294,Colossi of Memnon: ,06:00 AM, 5:00 PM,4.8,"3,256",Historical landmark,Ancient Ruins,25.71933,32.60134,luxor,Historical landmark Ancient Ruins
295,Karnak Open-air Museum:, 6:00 AM , 5:30 PM,4.5,24,Historical landmark,,25.7003,32.63967,luxor,Historical landmark
296,Valley of the Kings:, 6:00 AM , 5:00 PM,4.6,"5,761",Historical landmark,Ancient Ruins Monuments & Statues,25.72146,32.60832,luxor,Historical landmark Ancient Ruins Monuments & Statues
297,Avenue of Sphinxes,06:00 AM, 12:00 AM,4.9,31,Historical landmark,History Museums,25.72043,32.65748,luxor,Historical landmark History Museums
298,Banana Island,06:00 AM, 12:00 AM,4.8,"10,872",Archaeological site,,25.74016,32.60141,luxor,Archaeological site
299,Abou al-Haggag Mosque: ,07:00 AM, 10:00 PM,4.9,65,Historical landmark,,25.70102,32.64053,luxor,Historical landmark
300,Valley of the Queens: ,06:00 AM, 5:00 PM,4,"2,298",Park,Islands,25.6836,32.62284,luxor,Park Islands
301,"Magic Horizon Balloons, Luxor",06:00 AM, 12:00 AM,4.7,"1,352",Mosque,,25.69987,32.63977,luxor,Mosque
302,Ramesses III Temple:, 6:00 AM , 5:00 PM,4.6,"1,283",Historical landmark,Ancient Ruins Cemeteries,25.72858,32.59292,luxor,Historical landmark Ancient Ruins Cemeteries
303,Mut Temple:, 6:00 AM , 5:00 PM,4.6,248,Balloon ride tour agency,Balloon Rides,25.68801,32.6324,luxor,Balloon ride tour agency Balloon Rides
304,Precinct of Amun-Re: ,06:00 AM, 5:30 PM,4.8,156,Historical landmark,Ancient Ruins,25.7183,32.65698,luxor,Historical landmark Ancient Ruins
305,Tombs of the Nobles:, 6:00 AM , 5:00 PM,4.4,371,Historical landmark,Historic Sites Ancient Ruins Religious Sites Monuments & Statues,25.71166,32.65521,luxor,Historical landmark Historic Sites Ancient Ruins Religious Sites Monuments & Statues
306,Sound & Light:, 7:00 PM , 8:00 PM,4.8,263,Place of worship,,25.7178,32.65803,luxor,Place of worship
307,Mortuary Temple of Seti I: ,06:00 AM, 5:00 PM,4.6,281,Historical landmark,Ancient Ruins Cemeteries,25.73141,32.59702,luxor,Historical landmark Ancient Ruins Cemeteries
308,Deir el-Medina,06:00 AM, 12:00 AM,4.5,718,Historical landmark,Theatre & Performances,25.72066,32.65337,luxor,Historical landmark Theatre & Performances
309,Hypostyle Hall: ,06:00 AM, 5:30 PM,4.6,674,Historical landmark,Ancient Ruins,25.73267,32.62816,luxor,Historical landmark Ancient Ruins
310,Temple Of Khonsu: ,06:00 AM, 5:30 PM,4.7,501,Historical landmark,Historic Sites Ancient Ruins,25.7281,32.60144,luxor,Historical landmark Historic Sites Ancient Ruins
311,Mortuary Temple of Hatshepsut: ,06:00 AM, 5:00 PM,4.9,143,Historical landmark,,25.71866,32.65782,luxor,Historical landmark
312,Deir el-Bahari:, 6:00 AM , 5:00 PM,4.7,70,Historical landmark,Historic Sites Ancient Ruins,25.7166,32.65578,luxor,Historical landmark Historic Sites Ancient Ruins
313,Temple of Thutmose III:, 6:00 AM , 5:00 PM,4.7,"14,029",Tourist attraction,Historic Sites Ancient Ruins Monuments & Statues,25.73828,32.60649,luxor,Tourist attraction Historic Sites Ancient Ruins Monuments & Statues
314,Mortuary Temple of Amenhotep III:, 6:00 AM , 5:00 PM,4.7,417,Historical landmark,Ancient Ruins Monuments & Statues,25.73726,32.60773,luxor,Historical landmark Ancient Ruins Monuments & Statues
315,Luxorstables Nobi Arabian Horse Stables: ,07:00 AM, 6:00 PM,4.8,159,Historical landmark,,25.71786,32.65956,luxor,Historical landmark
316,Luxor Fruit and Vegetable Market:, 6:00 AM , 6:00 PM,4.6,"6,294",Historical landmark,,25.72143,32.60907,luxor,Historical landmark
317,King Tut Balloons,06:00 AM, 12:00 AM,4.6,69,Horseback riding service,Nature & Wildlife Tours Horseback Riding Tours,25.70787,32.63139,luxor,Horseback riding service Nature & Wildlife Tours Horseback Riding Tours
318,First Pylon,06:00 AM, 12:00 AM,4,972,Fruit and vegetable store,Flea & Street Markets Farmers Markets,25.69786,32.64615,luxor,Fruit and vegetable store Flea & Street Markets Farmers Markets
319,Wadi El Rayan Fayoum Fall,06:00 AM, 12:00 AM,4.8,29,Balloon ride tour agency,Balloon Rides Private Tours,25.68327,32.63386,luxor,Balloon ride tour agency Balloon Rides Private Tours
320,Fayoum Oasis,06:00 AM, 12:00 AM,4.8,68,Historical landmark,,25.7193,32.65692,luxor,Historical landmark
321,The Pyramid of Sneferu,06:00 AM, 12:00 AM,4.3,1611,Waterfalls,Waterfalls,29.19089,30.40119,fayoum,Waterfalls Waterfalls
322,Waterwheels in Al Faiyum,06:00 AM, 12:00 AM,4,76,Oasis,City Tours Cultural Tours Climbing Tours Day Trips,29.45361,30.58083,fayoum,Oasis City Tours Cultural Tours Climbing Tours Day Trips
323,Pyramids of El Fayoum,06:00 AM, 12:00 AM,4.5,14,Points of Interest & Landmarks,,29.80859,31.20661,fayoum,Points of Interest & Landmarks
324,Fayoum Art Center,06:00 AM, 12:00 AM,3.5,25,Points of Interest & Landmarks,Points of Interest & Landmarks,29.45361,30.58083,fayoum,Points of Interest & Landmarks Points of Interest & Landmarks
325,Karanis,06:00 AM, 12:00 AM,4.5,3,Monuments & Statues,Monuments & Statues,29.3084,30.84285,fayoum,Monuments & Statues Monuments & Statues
326,Kom Aushim Museum,06:00 AM, 12:00 AM,4,8,Art Gallery,Art Galleries Art Museums,29.39912,30.48959,fayoum,Art Gallery Art Galleries Art Museums
327,Al Sultan Qaitbay Mosque,06:00 AM, 12:00 AM,4,9,Ancient Ruins,Ancient Ruins,29.51873,30.90329,fayoum,Ancient Ruins Ancient Ruins
328,Qasr Qaroun Temple,06:00 AM, 12:00 AM,4.1,120,Museum,History Musems,29.51857,30.8978,fayoum,Museum History Musems
329,Magic lake camp,06:00 AM, 12:00 AM,4.7,268,Mosque,,30.04749,31.26004,fayoum,Mosque
330,Citadel of Qaitbay:, 9:00 AM , 5:00 PM,4.2,468,Historical landmark,,29.40568,30.41832,fayoum,Historical landmark
331,Montaza Palace: ,09:00 AM, 4:00 PM,4.4,58,Campground,,29.16149,30.34093,fayoum,Campground
332,Bibliotheca Alexandrina: ,10:00 AM, 7:00 PM,4.4,37071,Fortress,15th-century fortress & naval museum,31.21401,29.88564,alexandria,Fortress 15th-century fortress & naval museum
333,Serapeum of Alexandria,06:00 AM, 12:00 AM,4.5,15723,Palace,1932 ornate palace & extensive gardens,31.2885,30.01597,alexandria,Palace 1932 ornate palace & extensive gardens
334,Sidi Morsi Abu al-Abbas Mosque,06:00 AM, 12:00 AM,4.6,6221,Library,Landmark contemporary library complex,31.20887,29.9092,alexandria,Library Landmark contemporary library complex
335,Catacombs of Kom el Shoqafa: ,09:00 AM, 4:00 PM,4.3,6206,Temple,Iconic Roman-era granite column,31.18259,29.89627,alexandria,Temple Iconic Roman-era granite column
336,Alexandria National Museum:, 9:00 AM , 4:00 PM,4.6,2753,Mosque,"Large, architecturally notable mosque Religious Sites",31.20554,29.8823,alexandria,"Mosque Large, architecturally notable mosque Religious Sites"
337,Royal Jewelry Museum,06:00 AM, 12:00 AM,4.5,3187,archaeological site,Burial chambers from the 2nd century,31.17874,29.89307,alexandria,archaeological site Burial chambers from the 2nd century
338,Ancient Roman Theatre,06:00 AM, 12:00 AM,4.4,2185,Museum,Egyptian history in an Italianate palace,31.20074,29.9132,alexandria,Museum Egyptian history in an Italianate palace
339,Stanley Bridge,06:00 AM, 12:00 AM,4.6,6247,Museum,Collections from Muhammad Ali dynasty,31.24061,29.96328,alexandria,Museum Collections from Muhammad Ali dynasty
340,Cavafy Museum,06:00 AM, 12:00 AM,4.4,4894,Theatre,Ruins of a Roman theater & villa,31.19488,29.90404,alexandria,Theatre Ruins of a Roman theater & villa
341,El Mamurah Beach,06:00 AM, 12:00 AM,4.6,31926,Bridge,Landmark Arab-style bay crossing,31.23523,29.94864,alexandria,Bridge Landmark Arab-style bay crossing
342,Mahmoud Said Museum,06:00 AM, 12:00 AM,4.3,553,Museum,Former home of a well-known Greek poet,31.19759,29.90124,alexandria,Museum Former home of a well-known Greek poet
343,The Cathedral of St. Mark,06:00 AM, 12:00 AM,4.2,12013,Beach,Lively spot with cafes & a promenade,31.29082,30.03067,alexandria,Beach Lively spot with cafes & a promenade
344,Greco-Roman Museum:, 9:00 AM , 4:00 PM,4.5,193,Museum,,31.24439,29.96901,alexandria,Museum
345,Alexandria Naval Unknown Soldier Memorial,06:00 AM, 12:00 AM,4.8,2765,Church,Iconic Coptic church on an ancient site Religious Sites,31.19838,29.89957,alexandria,Church Iconic Coptic church on an ancient site Religious Sites
346,Corniche Alexandria,06:00 AM, 12:00 AM,3.9,459,Museum,HIstory Mummies & other archaeological objects,31.19918,29.9066,alexandria,Museum HIstory Mummies & other archaeological objects
347,Al Qaaed Ibrahim Basha Mosque,06:00 AM, 12:00 AM,4.3,14254,Monument,,31.2,29.89376,alexandria,Monument
348,El Montazah Park,06:00 AM, 12:00 AM,4.6,403,Waterfront promenade,dating from 1870,31.20974,29.90762,alexandria,Waterfront promenade dating from 1870
349,Kom el Dikka,07:00 AM, 12:00 AM,4.7,3559,Mosque,Religious Sites,31.20314,29.90384,alexandria,Mosque Religious Sites
350,Elmontaza Garden,06:00 AM, 12:00 AM,4.1,98,Park,,31.28501,30.02591,alexandria,Park
351,El Nabi Daniel Mosque,06:00 AM, 12:00 AM,4.3,125,archaeological site,,31.1975,29.909,alexandria,archaeological site
352,Alexandria Corniche,06:00 AM, 12:00 AM,4.5,3171,Garden,Palace grounds with flowerbeds & beaches,31.28395,30.01621,alexandria,Garden Palace grounds with flowerbeds & beaches
353,Mohamed Ali Pasha Statue,06:00 AM, 12:00 AM,4.5,1699,Mosque,Religious Sites,31.19492,29.90234,alexandria,Mosque Religious Sites
354,Montazah Beach,06:00 AM, 12:00 AM,4.6,1552,Beach,,31.20959,29.90763,alexandria,Beach
355,St. Takla Church,06:00 AM, 12:00 AM,4.3,3371,Statue,,31.19738,29.89287,alexandria,Statue
356,Alexandria Aquarium,06:00 AM, 12:00 AM,4.6,743,Beach,,31.29303,30.02034,alexandria,Beach
357,Museum of Fine Arts,06:00 AM, 12:00 AM,4.4,810,Church,church and christianity Historic sites,31.21073,29.92628,alexandria,Church church and christianity Historic sites
358,Saint Catherine Cathedral,06:00 AM, 12:00 AM,4.2,1237,Aquarium,museum & research center,31.21283,29.885,alexandria,Aquarium museum & research center
359,Sir. Allenby Garden,06:00 AM, 12:00 AM,4.4,417,Museum,Art Museum,31.19535,29.91344,alexandria,Museum Art Museum
360,Planetarium Science Center (PSC),06:00 AM, 12:00 AM,4.6,521,Church,"Cathedral, architecture, church and history Religious Sites",31.19471,29.89452,alexandria,"Church Cathedral, architecture, church and history Religious Sites"
361,Elharamlik Palace,06:00 AM, 12:00 AM,4.4,800,Garden,park,31.22521,29.95544,alexandria,Garden park
362,Tea island,06:00 AM, 12:00 AM,4.6,276,Planetarium,Space & IMAX movies in a dome theater,31.20898,29.90814,alexandria,Planetarium Space & IMAX movies in a dome theater
363,Princess Aziza Fahmy's Palace,06:00 AM, 12:00 AM,4.5,179,Palace,,31.28852,30.01638,alexandria,Palace
